Name,SamAccountName,GroupCategory,GroupScope,Description,OU,Email
Hong Kong-Investment Banking,hong-kong-investment-banking,Security,Global,Investment Banking team for Hong Kong,"OU=Investment Banking,OU=Hong Kong,OU=China,OU=Enterprise,DC=itpositive,DC=com",hong-kong-investment-banking@itpositive.com
Madrid-Trading,madrid-trading,Security,Global,Trading team for Madrid,"OU=Trading,OU=Madrid,OU=Spain,OU=Enterprise,DC=itpositive,DC=com",madrid-trading@itpositive.com
Madrid-Compliance,madrid-compliance,Security,Global,Compliance team for Madrid,"OU=Compliance,OU=Madrid,OU=Spain,OU=Enterprise,DC=itpositive,DC=com",madrid-compliance@itpositive.com
Madrid-IT,madrid-it,Security,Global,IT team for Madrid,"OU=IT,OU=Madrid,OU=Spain,OU=Enterprise,DC=itpositive,DC=com",madrid-it@itpositive.com
Madrid-HR,madrid-hr,Security,Global,HR team for Madrid,"OU=HR,OU=Madrid,OU=Spain,OU=Enterprise,DC=itpositive,DC=com",madrid-hr@itpositive.com
Madrid-Operations,madrid-operations,Security,Global,Operations team for Madrid,"OU=Operations,OU=Madrid,OU=Spain,OU=Enterprise,DC=itpositive,DC=com",madrid-operations@itpositive.com
Madrid-Finance,madrid-finance,Security,Global,Finance team for Madrid,"OU=Finance,OU=Madrid,OU=Spain,OU=Enterprise,DC=itpositive,DC=com",madrid-finance@itpositive.com
Madrid-Legal,madrid-legal,Security,Global,Legal team for Madrid,"OU=Legal,OU=Madrid,OU=Spain,OU=Enterprise,DC=itpositive,DC=com",madrid-legal@itpositive.com
Madrid-Marketing,madrid-marketing,Security,Global,Marketing team for Madrid,"OU=Marketing,OU=Madrid,OU=Spain,OU=Enterprise,DC=itpositive,DC=com",madrid-marketing@itpositive.com
Madrid-Customer Service,madrid-customer-service,Security,Global,Customer Service team for Madrid,"OU=Customer Service,OU=Madrid,OU=Spain,OU=Enterprise,DC=itpositive,DC=com",madrid-customer-service@itpositive.com
Madrid-Treasury Management,madrid-treasury-management,Security,Global,Treasury Management team for Madrid,"OU=Treasury Management,OU=Madrid,OU=Spain,OU=Enterprise,DC=itpositive,DC=com",madrid-treasury-management@itpositive.com
Madrid-Business Banking,madrid-business-banking,Security,Global,Business Banking team for Madrid,"OU=Business Banking,OU=Madrid,OU=Spain,OU=Enterprise,DC=itpositive,DC=com",madrid-business-banking@itpositive.com
Madrid-Investment Banking,madrid-investment-banking,Security,Global,Investment Banking team for Madrid,"OU=Investment Banking,OU=Madrid,OU=Spain,OU=Enterprise,DC=itpositive,DC=com",madrid-investment-banking@itpositive.com
